Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,Pythag,RankPythag
2009,"North Carolina",75.6671,5,73.8797,8,117.388,1,122.441,1,95.3845,43,92.8949,21,0.959915,1
2009,Memphis,68.2147,104,66.8617,147,109.788,29,111.512,33,85.5509,1,85.1464,1,0.956986,2
2009,Connecticut,68.3189,102,68.3521,87,112.083,14,113.819,18,91.5108,7,87.8212,3,0.951755,3
2009,Pittsburgh,66.8736,147,65.9907,186,115.974,3,119.549,2,96.9717,73,93.2329,24,0.94579,4
2009,Louisville,68.8768,80,67.6363,115,107.295,68,109.605,50,89.7123,3,86.9312,2,0.934949,5
2009,"Michigan St.",66.5681,161,67.309,126,108.344,51,113.193,22,95.534,46,90.4379,8,0.929628,6
2009,Missouri,72.4776,15,71.3435,21,112.174,13,115.876,10,93.2522,13,92.8116,20,0.927737,7
2009,Oklahoma,68.8283,85,67.6739,111,113.918,8,117.009,4,97.679,85,94.1323,34,0.924268,8
2009,Villanova,69.518,69,69.1727,63,109.926,27,112.833,25,95.9447,51,90.7816,13,0.924192,9
2009,Kansas,69.5312,68,68.529,82,109.528,33,111.801,32,93.7687,18,90.4686,9,0.91944,10
2009,"West Virginia",65.6607,198,64.9597,240,109.419,36,113.139,23,94.2855,24,92.0394,17,0.914795,11
2009,Duke,69.2244,75,67.4391,122,111.578,19,116.036,8,95.2597,39,94.5264,36,0.913552,12
2009,Washington,71.9604,20,73.9,7,107.695,59,110.986,38,95.4977,44,90.5304,10,0.912357,13
2009,Gonzaga,68.1164,108,68.1729,94,114.905,5,115.991,9,92.2009,9,94.6186,37,0.912306,14
2009,UCLA,65.5251,205,66.6731,155,115.162,4,117.654,3,98.0675,93,95.9774,56,0.912281,15
2009,Syracuse,70.9532,33,70.4759,34,109.167,41,116.414,6,98.6928,101,95.1262,44,0.910716,16
2009,Purdue,65.4286,209,66.9221,146,104.727,110,109.465,53,90.7874,6,89.6805,5,0.908256,17
2009,"Arizona St.",60.43,331,60.0063,333,113.364,9,116.264,7,98.8688,105,95.6065,52,0.904619,18
2009,Marquette,69.249,74,68.4064,85,112.65,12,115.682,12,99.4157,117,96.1346,60,0.893653,19
2009,Xavier,66.7161,154,66.6327,157,107.15,71,108.303,65,92.3505,11,90.6056,12,0.886125,20
2009,Texas,67.3548,132,66.0722,182,107.009,74,111.012,36,96.9299,72,93.3333,26,0.880249,21
2009,BYU,68.6804,92,69.856,48,111.438,21,112.132,29,94.4237,26,94.6523,39,0.875316,22
2009,Illinois,62.9621,294,63.9795,270,102.037,161,104.218,117,90.4703,5,88.0105,4,0.874769,23
2009,USC,65.1056,224,64.7635,246,104.776,107,108.677,61,97.6069,84,91.9369,16,0.872549,24
2009,Clemson,70.1383,53,68.8233,71,111.463,20,114.933,15,96.2361,56,97.3807,75,0.870542,25
2009,"Oklahoma St.",71.9548,21,69.9007,47,111.886,16,114.55,16,102.787,206,97.3752,74,0.866234,26
2009,"Wake Forest",75.0335,7,73.178,11,107.762,58,109.847,46,94.2848,23,93.9113,31,0.858455,27
2009,Wisconsin,58.8071,341,59.9204,334,107.27,69,110.863,39,99.1514,112,94.848,41,0.857445,28
2009,Utah,65.3378,212,65.7734,198,107.524,64,107.967,69,96.922,71,92.78,19,0.851106,29
2009,California,66.2381,173,67.2145,132,111.998,15,115.655,13,102.548,201,99.7012,125,0.846447,30
2009,"Florida St.",67.8982,114,66.7879,150,100.271,191,104.571,111,94.9885,34,90.1648,7,0.846134,31
2009,Baylor,67.9613,113,66.5853,159,110.674,24,115.689,11,103.892,227,99.8044,127,0.84533,32
2009,"Ohio St.",61.851,317,63.3112,290,107.022,73,112.014,30,99.4089,116,96.6562,64,0.844988,33
2009,Georgetown,64.2361,266,63.5558,285,106.091,87,108.906,57,97.5455,83,94.1105,33,0.842797,34
2009,Arizona,64.7654,247,66.1394,178,110.995,22,116.901,5,106.354,276,101.18,155,0.840365,35
2009,"San Diego St.",62.8824,296,62.6554,309,105.911,89,107.439,73,95.1336,37,93.0904,22,0.8387,36
2009,"Texas A&M",66.0233,181,65.0245,231,107.885,57,112.775,26,101.408,170,97.7669,81,0.837842,37
2009,Tennessee,71.3717,29,68.6734,76,109.309,38,113.445,19,101.682,179,98.9093,104,0.828758,38
2009,Minnesota,63.7079,275,65.5008,214,103.168,137,105.31,98,96.5515,61,91.8175,15,0.828736,39
2009,Butler,62.7427,298,63.5846,284,106.9,77,108.688,60,93.5471,15,94.8827,43,0.826669,40
2009,"Notre Dame",67.968,110,67.7871,108,110.045,26,113.243,21,103.12,214,98.8857,103,0.826221,41
2009,Florida,68.3865,99,66.5099,161,112.868,11,113.305,20,98.8098,104,99.2055,113,0.821747,42
2009,Michigan,62.232,310,63.6738,279,105.358,97,110.66,42,101.093,161,96.9262,69,0.821111,43
2009,"New Mexico",66.7011,156,66.3338,172,109.778,30,110,45,97.9285,91,96.5347,62,0.817815,44
2009,"Washington St.",58.5928,342,58.7126,340,100.627,182,103.202,134,94.3288,25,90.5826,11,0.817552,45
2009,VCU,66.0056,182,66.7893,149,108.118,54,108.194,66,95.1421,38,95.2404,45,0.812526,46
2009,Stanford,67.4089,131,68.4016,86,108.151,53,111.268,35,101.631,177,97.9573,85,0.812326,47
2009,Maryland,68.6526,94,67.2745,128,103.786,125,109.096,55,100.063,135,96.174,61,0.809961,48
2009,LSU,68.1276,107,66.7785,152,109.066,44,109.727,47,96.4881,60,96.7523,66,0.809559,49
2009,"Miami FL",66.3214,169,64.9811,236,107.436,67,108.519,62,98.9021,106,95.7391,54,0.808599,50
2009,Temple,64.9088,239,64.3838,260,105.65,91,108.006,67,97.9245,90,95.3475,48,0.807457,51
2009,"Penn St.",61.9179,316,62.5109,310,106.889,78,110.725,41,100.374,142,97.936,83,0.803992,52
2009,"Kansas St.",68.9648,78,68.2879,88,107.182,70,107.378,75,96.0896,53,95.4952,49,0.793925,53
2009,"Utah St.",61.433,322,60.9828,327,117.028,2,114.047,17,100.547,145,101.489,165,0.792747,54
2009,Auburn,70.0506,56,69.5168,56,103.741,128,105.266,100,94.6063,28,93.7781,29,0.790658,55
2009,Kentucky,70.1594,52,67.2391,131,105.547,94,106.126,88,94.6262,29,94.6518,38,0.788488,56
2009,UAB,67.1636,136,67.6725,112,106.771,79,106.702,84,97.0573,76,95.2595,46,0.786591,57
2009,"Saint Mary's",66.6913,157,67.0754,140,109.016,46,108.754,59,97.0569,75,97.1971,71,0.78448,58
2009,"Cleveland St.",64.3562,264,64.3448,263,101.455,169,104.809,107,93.7377,17,93.7914,30,0.781986,59
2009,Tulsa,65.0088,231,64.8006,244,102.505,150,104.332,115,94.8467,32,93.473,28,0.779709,60
2009,Siena,71.7479,22,71.683,16,106.946,75,109.425,54,97.0161,74,98.1839,89,0.776708,61
2009,"Illinois St.",64.2561,265,64.9602,239,107.468,66,106.35,87,95.8658,49,95.5307,51,0.774479,62
2009,"Rhode Island",69.1878,76,68.8108,72,111.835,17,111.382,34,102.49,199,100.174,137,0.772003,63
2009,Nebraska,63.8842,272,63.9345,272,100.796,179,101.249,165,94.1611,20,91.1693,14,0.769576,64
2009,Northwestern,59.9054,335,60.9187,329,105.715,90,110.736,40,101.075,159,99.8183,129,0.767402,65
2009,"Virginia Tech",67.7317,121,66.4668,165,105.344,98,109.606,49,102.751,205,98.8103,100,0.767184,66
2009,"Mississippi St.",69.8787,59,68.0413,98,103.624,130,105.738,95,97.2672,79,95.4996,50,0.763351,67
2009,"North Dakota St.",67.6393,125,68.5433,81,114.441,6,112.918,24,100.672,151,102.59,183,0.75085,68
2009,UNLV,66.1411,180,66.3712,169,103.003,142,104.209,118,96.636,65,94.8534,42,0.746824,69
2009,"Boston College",67.5466,129,66.4072,168,109.251,39,111.002,37,103.898,228,101.088,154,0.745704,70
2009,"South Carolina",74.0946,9,73.4678,9,105.002,101,104.983,102,95.2743,40,95.6241,53,0.745329,71
2009,Houston,69.7889,61,69.4463,58,107.602,63,106,89,97.1472,78,96.584,63,0.744563,72
2009,Creighton,67.3313,133,68.415,84,108.507,50,109.528,51,97.2846,80,99.8241,130,0.744001,73
2009,Dayton,65.508,206,65.5818,209,101.298,172,102.127,148,92.9149,12,93.162,23,0.74204,74
2009,"Seton Hall",69.4847,71,69.1672,65,105.001,102,108.987,56,102.853,208,99.6815,124,0.736198,75
2009,Davidson,70.7074,39,70.9384,25,108.769,47,100.646,185,92.3255,10,92.0578,18,0.736082,76
2009,Niagara,70.5331,40,69.6222,54,107.14,72,106.758,83,94.9074,33,97.7208,80,0.734414,77
2009,Providence,73.1303,10,73.2081,10,106.422,83,109.51,52,104.121,232,100.249,141,0.734226,78
2009,"Northern Iowa",61.3194,325,61.8225,318,107.673,61,108.39,64,102.104,190,99.227,115,0.734143,79
2009,UTEP,70.8313,36,71.4282,20,105.511,95,107.408,74,100.559,146,98.5083,94,0.730001,80
2009,"North Carolina St.",65.8594,187,64.1228,266,109.477,34,112.575,27,104.536,244,103.281,198,0.729288,81
2009,Vanderbilt,67.6431,123,66.4755,163,104.148,118,105.882,94,96.8407,68,97.2626,72,0.726411,82
2009,"Green Bay",65.095,225,66.009,184,110.609,25,111.924,31,101.347,169,102.98,192,0.722684,83
2009,Duquesne,70.1602,51,69.6688,51,110.867,23,114.935,14,105.48,260,105.931,260,0.718732,84
2009,Vermont,69.0138,77,69.7193,49,109.45,35,106.879,82,95.0487,35,98.7453,97,0.713059,85
2009,"Western Kentucky",66.2917,170,66.4913,162,109.584,32,110.324,43,102.013,187,101.97,173,0.7121,86
2009,"George Mason",63.1152,291,63.3372,288,103.984,121,102.548,144,95.2858,42,95.312,47,0.698784,87
2009,"Texas Tech",72.8113,12,72.272,15,102.946,143,108.903,58,106.983,288,101.398,163,0.694482,88
2009,"Old Dominion",62.5505,302,62.9961,302,105.308,99,104.005,125,95.7493,48,96.8407,67,0.694398,89
2009,Cincinnati,65.1755,221,64.4259,259,103.214,136,106.443,85,102.193,191,99.5403,119,0.683744,90
2009,Iowa,56.7484,344,58.4974,341,104.776,108,106.386,86,103.171,216,99.5641,121,0.681823,91
2009,"Stephen F. Austin",64.5514,257,63.0559,301,96.8946,251,95.5278,265,88.5255,2,89.7924,6,0.670854,92
2009,Northeastern,60.4347,330,60.9352,328,102.421,153,104.564,112,98.707,102,98.3385,91,0.669497,93
2009,"Wright St.",61.7622,318,62.8382,306,97.2185,245,99.1488,214,92.1787,8,93.2974,25,0.668087,94
2009,"Oral Roberts",67.965,111,68.5164,83,102.459,152,100.297,193,96.5897,63,94.3942,35,0.667653,95
2009,Alabama,70.2198,48,68.6965,75,102.639,148,104.765,108,100.279,141,98.7499,98,0.663729,96
2009,"Oregon St.",58.8437,340,58.1486,343,100.729,180,105.961,90,106.328,274,99.9191,132,0.662658,97
2009,Akron,64.625,254,65.5951,208,101.455,170,101.654,157,93.2633,14,95.9927,57,0.659028,98
2009,"Georgia Tech",72.8444,11,71.4816,18,96.2418,267,98.5972,219,96.5672,62,93.3942,27,0.651004,99
2009,Mississippi,68.1793,105,67.1368,136,106.424,82,109.617,48,105.448,258,104.02,214,0.646261,100
2009,"Saint Joseph's",65.2413,219,65.1403,228,102.619,149,103.925,128,99.5297,120,98.7709,99,0.642217,101
2009,Nevada,66.8967,146,67.6717,113,104.134,119,103.988,126,99.9921,133,98.944,106,0.639168,102
2009,"Miami OH",61.5844,320,61.7844,319,98.8937,215,100.894,173,94.4801,27,96.0667,59,0.637327,103
2009,"La Salle",67.7566,119,68.1657,95,103.461,134,103.141,136,100.022,134,98.3588,92,0.633206,104
2009,Oakland,65.217,220,65.8791,191,113.272,10,112.357,28,107.671,300,107.169,278,0.632659,105
2009,"East Tennessee St.",72.1569,16,71.117,24,106.941,76,104.443,114,96.7469,66,99.6365,122,0.632227,106
2009,American,61.3074,326,61.486,321,104.895,104,103.827,130,95.0956,36,99.2211,114,0.627562,107
2009,"Cal St. Northridge",71.5737,26,72.6973,12,101.964,162,100.304,192,97.8049,88,96.0038,58,0.623372,108
2009,Portland,65.6444,199,65.7913,197,105.586,92,105.437,97,101.343,168,101.201,157,0.615761,109
2009,Virginia,70.5308,41,68.2249,92,97.9666,228,100.843,178,101.752,180,96.8463,68,0.614219,110
2009,"Iowa St.",65.4469,208,64.9899,235,98.9503,213,100.476,188,99.7853,128,96.7223,65,0.607745,111
2009,Richmond,65.6719,197,64.9635,238,105.461,96,105.288,99,102.358,195,101.727,170,0.597658,112
2009,"Weber St.",66.4045,165,68.1532,96,103.817,124,101.224,166,98.9673,108,97.8639,82,0.59585,113
2009,Cornell,66.2659,171,66.3455,170,108.558,49,105.885,93,97.7948,87,102.566,182,0.590563,114
2009,Wyoming,69.7031,66,70.2324,37,103.998,120,105.492,96,106.49,279,102.268,178,0.588279,115
2009,Bradley,64.8809,243,65.4272,216,103.053,141,103.892,129,101.525,171,100.818,149,0.585493,116
2009,Pacific,60.0054,334,59.4279,336,108.648,48,106.987,79,102.249,193,103.825,210,0.585419,117
2009,"St. John's",66.7478,151,66.4114,167,98.7565,222,100.407,190,100.708,153,97.6733,78,0.578698,118
2009,Belmont,70.4328,43,69.7043,50,108.258,52,104.859,106,99.4653,118,102.046,174,0.577542,119
2009,"Tennessee Martin",69.7206,65,69.1714,64,109.684,31,107.159,77,101.782,182,104.327,223,0.576382,120
2009,"Sam Houston St.",68.8325,84,67.087,138,106.374,84,105.898,92,102.009,185,103.24,196,0.572566,121
